home_team_id,home_team_name,home_team_gender,home_team_group,managers
217,Barcelona,male,,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': '1964-02-09', 'country': {'id': 214, 'name': 'Spain'}}]"
219,RC Deportivo La Coruña,male,,"[{'id': 371, 'name': 'Clarence Seedorf', 'nickname': None, 'dob': '1976-04-01', 'country': {'id': 160, 'name': 'Netherlands'}}]"
208,Las Palmas,male,,"[{'id': 220, 'name': 'Francisco Jémez Martín', 'nickname': 'Paco Jémez', 'dob': '1970-04-18', 'country': {'id': 214, 'name': 'Spain'}}]"
322,Eibar,male,,"[{'id': 221, 'name': 'José Luis Mendilibar Etxebarria', 'nickname': 'José Luis Mendilibar', 'dob': '1961-03-14', 'country': {'id': 214, 'name': 'Spain'}}]"
220,Real Madrid,male,,"[{'id': 56, 'name': 'Zinédine Zidane', 'nickname': None, 'dob': '1972-06-23', 'country': {'id': 78, 'name': 'France'}}]"
218,Real Betis,male,,"[{'id': 620, 'name': 'Eder Sarabia Armesto', 'nickname': 'Eder Sarabia', 'dob': '1981-01-12', 'country': {'id': 214, 'name': 'Spain'}}, {'id': 238, 'name': 'Enrique Setién Solar', 'nickname': 'Quique Setién', 'dob': '1958-09-27', 'country': {'id': 214, 'name': 'Spain'}}]"
215,Athletic Club,male,,"[{'id': 210, 'name': 'José Ángel Ziganda Lacunza', 'nickname': 'Cuco Ziganda', 'dob': '1966-10-01', 'country': {'id': 214, 'name': 'Spain'}}]"
214,Espanyol,male,,"[{'id': 236, 'name': 'Enrique Sánchez Flores', 'nickname': 'Quique Sánchez Flores', 'dob': '1965-02-05', 'country': {'id': 214, 'name': 'Spain'}}]"
213,Sevilla,male,,"[{'id': 232, 'name': 'Vincenzo Montella', 'nickname': None, 'dob': '1974-06-18', 'country': {'id': 112, 'name': 'Italy'}}]"
207,Valencia,male,,"[{'id': 507, 'name': 'Juan Rubén Uría Corral', 'nickname': 'Rubén Uría', 'dob': '1968-01-30', 'country': {'id': 214, 'name': 'Spain'}}, {'id': 211, 'name': 'Marcelino García Toral', 'nickname': 'Marcelino', 'dob': '1965-08-14', 'country': {'id': 214, 'name': 'Spain'}}]"
222,Villarreal,male,,"[{'id': 182, 'name': 'Javier Calleja Revilla', 'nickname': 'Javi Calleja', 'dob': '1978-05-12', 'country': {'id': 214, 'name': 'Spain'}}]"
211,Girona,male,,"[{'id': 234, 'name': 'Pablo Javier Machín Díez', 'nickname': 'Pablo Machín', 'dob': '1975-04-07', 'country': {'id': 214, 'name': 'Spain'}}]"
212,Atlético Madrid,male,,"[{'id': 230, 'name': 'Diego Pablo Simeone', 'nickname': 'Diego Simeone', 'dob': '1970-04-28', 'country': {'id': 11, 'name': 'Argentina'}}]"
216,Getafe,male,,"[{'id': 228, 'name': 'José Bordalás Jiménez', 'nickname': 'Pepe Bordalás', 'dob': '1964-03-05', 'country': {'id': 214, 'name': 'Spain'}}]"
205,Leganés,male,,"[{'id': 84, 'name': 'Asier Garitano Aguirrezábal', 'nickname': 'Asier Garitano', 'dob': '1969-12-06', 'country': {'id': 214, 'name': 'Spain'}}]"
206,Deportivo Alavés,male,,"[{'id': 511, 'name': 'Luis Francisco Zubeldía', 'nickname': 'Luis Zubeldía', 'dob': '1981-01-13', 'country': {'id': 11, 'name': 'Argentina'}}]"
210,Real Sociedad,male,,"[{'id': 229, 'name': 'Eusebio Sacristán Mena', 'nickname': 'Eusebio Sacristán', 'dob': '1964-04-13', 'country': {'id': 214, 'name': 'Spain'}}]"
209,Celta Vigo,male,,"[{'id': 208, 'name': 'Juan Carlos Unzué Labiano', 'nickname': 'Juan Carlos Unzué', 'dob': '1967-04-22', 'country': {'id': 214, 'name': 'Spain'}}]"
213,Sevilla,male,,"[{'id': 637, 'name': 'Jorge Luis Sampaoli Moya', 'nickname': 'Jorge Sampaoli', 'dob': '1960-03-13', 'country': {'id': 11, 'name': 'Argentina'}}]"
422,Osasuna,male,,"[{'id': 497, 'name': 'Joaquín de Jesús Caparrós Camino', 'nickname': 'Joaquín Caparrós', 'dob': '1955-10-15', 'country': {'id': 214, 'name': 'Spain'}}]"
217,Barcelona,male,,"[{'id': 793, 'name': 'Luis Enrique Martínez García', 'nickname': 'Luis Enrique', 'dob': '1970-05-08', 'country': {'id': 214, 'name': 'Spain'}}]"
215,Athletic Club,male,,"[{'id': 227, 'name': 'Ernesto Valverde Tejedor', 'nickname': 'Ernesto Valverde', 'dob': '1964-02-09', 'country': {'id': 214, 'name': 'Spain'}}]"
218,Real Betis,male,,"[{'id': 3157, 'name': 'Víctor Sánchez del Amo', 'nickname': 'Víctor Sánchez', 'dob': '1976-02-23', 'country': {'id': 214, 'name': 'Spain'}}]"
208,Las Palmas,male,,"[{'id': 238, 'name': 'Enrique Setién Solar', 'nickname': 'Quique Setién', 'dob': '1958-09-27', 'country': {'id': 214, 'name': 'Spain'}}]"
222,Villarreal,male,,"[{'id': 509, 'name': 'Francisco Escriba Segura', 'nickname': 'Fran Escribá', 'dob': '1965-05-03', 'country': {'id': 214, 'name': 'Spain'}}]"
207,Valencia,male,,"[{'id': 713, 'name': 'Claudio Cesare Prandelli', 'nickname': None, 'dob': '1957-08-19', 'country': {'id': 112, 'name': 'Italy'}}]"
219,RC Deportivo La Coruña,male,,"[{'id': 57, 'name': 'José Mel Pérez', 'nickname': 'Pepe Mel', 'dob': '1963-02-28', 'country': {'id': 214, 'name': 'Spain'}}]"
206,Deportivo Alavés,male,,"[{'id': 681, 'name': 'Mauricio Pellegrino', 'nickname': None, 'dob': '1971-10-05', 'country': {'id': 11, 'name': 'Argentina'}}]"
223,Málaga,male,,"[{'id': 505, 'name': 'José Miguel González Martín del Campo', 'nickname': 'Míchel', 'dob': '1963-03-23', 'country': {'id': 214, 'name': 'Spain'}}]"
217,Barcelona,male,,"[{'id': 36, 'name': 'Josep Guardiola i Sala', 'nickname': 'Pep Guardiola', 'dob': '1971-01-18', 'country': {'id': 214, 'name': 'Spain'}}]"
213,Sevilla,male,,"[{'id': 5044, 'name': 'Antonio Álvarez', 'nickname': None, 'dob': '1955-04-10', 'country': {'id': 214, 'name': 'Spain'}}]"
222,Villarreal,male,,"[{'id': 4201, 'name': 'Juan Carlos Garrido Fernández', 'nickname': 'Juan Garrido', 'dob': '1969-03-29', 'country': {'id': 214, 'name': 'Spain'}}]"
422,Osasuna,male,,"[{'id': 4961, 'name': 'José Antonio Camacho Alfaro', 'nickname': 'José Camacho', 'dob': '1955-06-08', 'country': {'id': 214, 'name': 'Spain'}}]"
216,Getafe,male,,"[{'id': 505, 'name': 'José Miguel González Martín del Campo', 'nickname': 'Míchel', 'dob': '1963-03-23', 'country': {'id': 214, 'name': 'Spain'}}]"
627,Tenerife,male,,"[{'id': 1606, 'name': 'José Luis Oltra Castañer', 'nickname': 'José Luis Oltra', 'dob': '1969-03-24', 'country': {'id': 214, 'name': 'Spain'}}]"
219,RC Deportivo La Coruña,male,,"[{'id': 4519, 'name': 'Miguel Ángel Lotina Oruecheberría', 'nickname': 'Miguel Ángel Lotina', 'dob': '1957-06-18', 'country': {'id': 214, 'name': 'Spain'}}]"
217,Barcelona,male,,
